INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000319,201,'2020-01-01','2020-01-06');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000213,605,'2020-01-07','2020-01-10');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000238,602,'2020-01-08','2020-01-11');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000384,608,'2020-01-09','2020-01-12');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000256,610,'2020-01-09','2020-01-13');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000315,107,'2020-01-10','2020-01-13');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000024,203,'2020-01-10','2020-01-14');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000027,210,'2020-01-10','2020-01-15');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000313,410,'2020-01-10','2020-01-12');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000426,503,'2020-01-10','2020-01-15');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000407,504,'2020-01-10','2020-01-13');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000275,606,'2020-01-10','2020-01-14');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000494,109,'2020-01-11','2020-01-14');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000221,110,'2020-01-11','2020-01-15');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000143,302,'2020-01-11','2020-01-15');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000038,303,'2020-01-11','2020-01-14');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000076,306,'2020-01-11','2020-01-14');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000381,501,'2020-01-12','2020-01-16');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000243,605,'2020-01-12','2020-01-16');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000029,101,'2020-01-13','2020-01-16');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000250,205,'2020-01-13','2020-01-16');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000039,301,'2020-01-13','2020-01-16');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000412,305,'2020-01-13','2020-01-16');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000151,402,'2020-01-13','2020-01-16');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000350,403,'2020-01-13','2020-01-17');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000352,404,'2020-01-13','2020-01-16');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000479,505,'2020-01-13','2020-01-17');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000325,102,'2020-01-14','2020-01-18');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000200,209,'2020-01-14','2020-01-17');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000144,406,'2020-01-14','2020-01-18');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000487,401,'2020-01-15','2020-01-18');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000246,608,'2020-01-15','2020-01-18');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000365,110,'2020-01-16','2020-01-19');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000278,508,'2020-01-16','2020-03-13');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000463,607,'2020-01-16','2020-01-19');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000308,109,'2020-01-17','2020-01-20');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000175,205,'2020-01-17','2020-01-20');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000095,303,'2020-01-17','2020-01-22');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000300,309,'2020-01-17','2020-01-20');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000062,402,'2020-01-17','2020-01-20');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000167,408,'2020-01-17','2020-01-20');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000265,502,'2020-01-17','2020-01-21');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000414,503,'2020-01-17','2020-01-21');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000391,506,'2020-01-17','2020-01-19');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000303,105,'2020-01-18','2020-01-21');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000296,203,'2020-01-18','2020-01-22');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000351,210,'2020-01-18','2020-01-21');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000045,305,'2020-01-18','2020-01-19');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000244,407,'2020-01-18','2020-01-20');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000319,510,'2020-01-18','2020-01-21');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000122,604,'2020-01-18','2020-01-21');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000375,101,'2020-01-20','2020-01-23');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000148,107,'2020-01-20','2020-01-23');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000359,201,'2020-01-20','2020-01-23');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000240,304,'2020-01-20','2020-01-23');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000019,308,'2020-01-20','2020-01-23');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000145,401,'2020-01-20','2020-01-24');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000478,405,'2020-01-20','2020-01-23');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000438,406,'2020-01-20','2020-01-24');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000381,409,'2020-01-20','2020-01-24');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000465,608,'2020-01-20','2020-01-23');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000501,209,'2020-01-21','2020-01-27');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000101,108,'2020-01-23','2020-01-26');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000200,203,'2020-01-23','2020-01-26');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000382,204,'2020-01-23','2020-01-27');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000464,205,'2020-01-23','2020-01-26');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000253,309,'2020-01-23','2020-01-26');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000261,408,'2020-01-23','2020-01-27');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000025,503,'2020-01-23','2020-01-27');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000425,102,'2020-01-24','2020-01-27');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000353,105,'2020-01-24','2020-01-29');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000272,107,'2020-01-24','2020-01-27');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000271,202,'2020-01-24','2020-01-28');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000259,210,'2020-01-24','2020-01-28');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000410,303,'2020-01-24','2020-01-28');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000399,310,'2020-01-24','2020-01-28');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000421,507,'2020-01-24','2020-01-29');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000427,605,'2020-01-24','2020-01-27');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000156,606,'2020-01-24','2020-01-27');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000422,301,'2020-01-25','2020-02-01');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000029,401,'2020-01-25','2020-01-30');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000355,402,'2020-01-25','2020-01-26');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000255,403,'2020-01-25','2020-01-28');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000251,405,'2020-01-25','2020-01-28');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000398,409,'2020-01-25','2020-01-28');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000179,410,'2020-01-25','2020-01-29');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000226,509,'2020-01-25','2020-01-29');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000193,506,'2020-01-26','2020-01-29');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000286,609,'2020-01-26','2020-01-30');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000477,103,'2020-01-27','2020-02-01');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000462,305,'2020-01-27','2020-01-30');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000011,501,'2020-01-27','2020-01-30');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000107,504,'2020-01-27','2020-02-01');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000241,505,'2020-01-27','2020-01-30');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000223,510,'2020-01-27','2020-02-01');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000308,601,'2020-01-27','2020-01-31');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000435,308,'2020-01-28','2020-02-01');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000411,302,'2020-01-30','2020-02-03');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000306,408,'2020-01-30','2020-02-02');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000341,509,'2020-01-30','2020-02-02');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000479,202,'2020-01-31','2020-02-03');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000089,305,'2020-01-31','2020-02-05');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000371,307,'2020-01-31','2020-02-04');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000152,407,'2020-01-31','2020-02-03');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000045,506,'2020-01-31','2020-02-04');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000023,608,'2020-01-31','2020-02-03');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000284,102,'2020-02-01','2020-02-04');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000316,105,'2020-02-01','2020-02-06');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000099,201,'2020-02-01','2020-02-05');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000216,306,'2020-02-01','2020-02-05');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000337,402,'2020-02-01','2020-02-05');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000231,410,'2020-02-01','2020-02-04');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000085,505,'2020-02-01','2020-02-05');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000143,605,'2020-02-01','2020-02-05');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000379,403,'2020-02-02','2020-02-05');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000021,503,'2020-02-02','2020-02-05');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000349,504,'2020-02-02','2020-02-06');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000214,104,'2020-02-03','2020-02-06');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000277,204,'2020-02-03','2020-02-08');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000351,507,'2020-02-03','2020-02-08');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000294,310,'2020-02-04','2020-02-08');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000191,409,'2020-02-04','2020-02-07');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000388,510,'2020-02-04','2020-02-07');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000336,109,'2020-02-06','2020-02-09');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000049,203,'2020-02-06','2020-02-10');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000170,302,'2020-02-06','2020-02-09');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000058,407,'2020-02-06','2020-02-09');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000031,408,'2020-02-06','2020-02-09');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000101,506,'2020-02-06','2020-02-09');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000353,606,'2020-02-06','2020-02-11');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000081,108,'2020-02-07','2020-02-13');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000109,301,'2020-02-07','2020-02-10');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000317,402,'2020-02-07','2020-02-11');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000425,503,'2020-02-07','2020-02-13');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000439,106,'2020-02-08','2020-02-11');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000011,201,'2020-02-08','2020-02-11');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000328,202,'2020-02-08','2020-05-06');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000187,304,'2020-02-08','2020-02-11');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000390,305,'2020-02-08','2020-02-11');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000066,409,'2020-02-08','2020-02-14');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000247,610,'2020-02-08','2020-02-12');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000061,208,'2020-02-09','2020-02-13');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000308,605,'2020-02-09','2020-02-12');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000331,609,'2020-02-09','2020-02-13');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000312,105,'2020-02-10','2020-02-13');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000434,207,'2020-02-10','2020-02-13');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000486,302,'2020-02-10','2020-02-14');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000461,405,'2020-02-10','2020-02-13');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000076,602,'2020-02-10','2020-02-14');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000456,309,'2020-02-12','2020-02-15');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000454,103,'2020-02-13','2020-02-17');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000132,109,'2020-02-13','2020-03-26');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000236,204,'2020-02-13','2020-02-17');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000059,304,'2020-02-13','2020-02-17');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000019,305,'2020-02-13','2020-02-18');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000101,108,'2020-02-14','2020-02-18');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000098,310,'2020-02-14','2020-02-17');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000196,401,'2020-02-14','2020-02-17');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000475,406,'2020-02-14','2020-02-18');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000231,510,'2020-02-14','2020-02-17');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000174,601,'2020-02-14','2020-02-17');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000428,205,'2020-02-15','2020-02-18');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000282,207,'2020-02-15','2020-02-18');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000420,208,'2020-02-15','2020-02-20');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000490,307,'2020-02-15','2020-02-18');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000451,404,'2020-02-15','2020-02-18');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000346,409,'2020-02-15','2020-02-19');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000378,507,'2020-02-15','2020-02-18');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000157,101,'2020-02-17','2020-02-24');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000225,110,'2020-02-17','2020-02-20');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000078,210,'2020-02-17','2020-02-21');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000240,306,'2020-02-17','2020-02-22');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000039,407,'2020-02-17','2020-02-21');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000360,505,'2020-02-17','2020-02-20');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000407,604,'2020-02-17','2020-02-20');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000170,608,'2020-02-17','2020-02-20');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000491,610,'2020-02-17','2020-02-21');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000217,104,'2020-02-20','2020-02-23');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000226,209,'2020-02-20','2020-02-24');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000099,301,'2020-02-20','2020-02-24');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000283,404,'2020-02-20','2020-02-24');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000331,406,'2020-02-20','2020-02-24');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000435,303,'2020-02-21','2020-02-24');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000420,310,'2020-02-21','2020-02-27');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000066,502,'2020-02-21','2020-02-26');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000373,103,'2020-02-22','2020-02-25');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000081,108,'2020-02-22','2020-02-25');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000239,110,'2020-02-22','2020-02-25');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000302,203,'2020-02-22','2020-02-26');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000246,208,'2020-02-22','2020-02-27');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000474,401,'2020-02-22','2020-02-26');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000086,503,'2020-02-22','2020-02-25');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000483,507,'2020-02-22','2020-02-26');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000488,510,'2020-02-22','2020-02-27');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000378,403,'2020-02-23','2020-02-28');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000228,609,'2020-02-23','2020-02-27');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000371,102,'2020-02-24','2020-02-28');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000250,302,'2020-02-24','2020-02-28');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000030,304,'2020-02-24','2020-02-27');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000409,410,'2020-02-24','2020-02-27');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000354,501,'2020-02-24','2020-02-28');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000130,505,'2020-02-24','2020-02-27');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000043,608,'2020-02-24','2020-02-27');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000355,104,'2020-02-25','2020-02-28');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000376,105,'2020-02-25','2020-02-28');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000059,110,'2020-02-26','2020-03-01');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000054,308,'2020-02-26','2020-02-28');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000412,506,'2020-02-26','2020-03-03');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000256,108,'2020-02-27','2020-03-01');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000202,301,'2020-02-27','2020-03-01');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000189,404,'2020-02-27','2020-03-02');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000103,407,'2020-02-27','2020-03-01');
